Event Type,Button,X,Y,Scroll Amount,Elapsed Time,Id
Move,,937.5546875,795.46875,0,3.591738375,id_20230601194848
Move,,937.29296875,795.46875,0,3.598054375,id_20230601194848
Move,,937.03125,795.20703125,0,3.606720459,id_20230601194848
Move,,936.7421875,794.6328125,0,3.614382542,id_20230601194848
Move,,936.453125,794.05859375,0,3.624948084,id_20230601194848
Move,,935.82421875,793.1171875,0,3.6307699589999998,id_20230601194848
Move,,934.796875,792.08984375,0,3.639906375,id_20230601194848
Move,,933.6875,790.2421875,0,3.646482042,id_20230601194848
Move,,932.578125,788.39453125,0,3.655784375,id_20230601194848
Move,,931.94921875,787.453125,0,3.662605375,id_20230601194848
Move,,930.24609375,784.90234375,0,3.670574667,id_20230601194848
Move,,929.13671875,783.0546875,0,3.678624292,id_20230601194848
Move,,927.43359375,780.50390625,0,3.687001792,id_20230601194848
Move,,926.32421875,778.65625,0,3.695231959,id_20230601194848
Move,,924.734375,776.66796875,0,3.709336209,id_20230601194848
Move,,923.625,775.1875,0,3.711428875,id_20230601194848
Move,,922.515625,773.33984375,0,3.71905375,id_20230601194848
Move,,921.40625,771.4921875,0,3.727281084,id_20230601194848
Move,,920.72265625,770.125,0,3.735310667,id_20230601194848
Move,,919.98046875,768.27734375,0,3.743500334,id_20230601194848
Move,,918.703125,765.30078125,0,3.751570917,id_20230601194848
Move,,918.27734375,762.32421875,0,3.7596909170000004,id_20230601194848
Move,,918.27734375,759.34765625,0,3.7747554589999996,id_20230601194848
Move,,918.27734375,755.72265625,0,3.777379584,id_20230601194848
Move,,918.27734375,751.39453125,0,3.7836099589999996,id_20230601194848
Move,,918.27734375,747.76953125,0,3.7919319170000003,id_20230601194848
Move,,918.27734375,743.44140625,0,3.799838084,id_20230601194848
Move,,920.81640625,738.86328125,0,3.8080042919999997,id_20230601194848
Move,,923.35546875,734.28515625,0,3.816031667,id_20230601194848
Move,,927.109375,729.45703125,0,3.824282459,id_20230601194848
Move,,931.3984375,725.1640625,0,3.832475875,id_20230601194848
Move,,936.4765625,720.6484375,0,3.840218042,id_20230601194848
Move,,941.83984375,717.4296875,0,3.848640625,id_20230601194848
Move,,947.203125,714.74609375,0,3.856312042,id_20230601194848
Move,,949.046875,714.00390625,0,3.864671167,id_20230601194848
Move,,952.66796875,712.64453125,0,3.873724459,id_20230601194848
Move,,955.640625,711.79296875,0,3.8806991249999996,id_20230601194848
Move,,957.484375,711.421875,0,3.890048084,id_20230601194848
Move,,959.328125,711.421875,0,3.8966354169999997,id_20230601194848
Move,,960.265625,711.421875,0,3.904963459,id_20230601194848
Move,,960.8359375,711.421875,0,3.913016917,id_20230601194848
Move,,960.8359375,712.359375,0,3.9240731670000004,id_20230601194848
Move,,960.8359375,715.98046875,0,3.929096584,id_20230601194848
Move,,955.75390625,720.4921875,0,3.93712925,id_20230601194848
Move,,948.92578125,726.07421875,0,3.9453140839999996,id_20230601194848
Move,,939.05859375,733.1171875,0,3.9531358340000002,id_20230601194848
Move,,918.59765625,745.20703125,0,3.961342042,id_20230601194848
Move,,901.69140625,753.65625,0,3.969628125,id_20230601194848
Move,,891.54296875,757.71484375,0,3.977602792,id_20230601194848
Move,,872.32421875,764.69921875,0,3.985759917,id_20230601194848
Move,,853.7265625,769.76953125,0,3.993939417,id_20230601194848
Move,,836.56640625,773.8515625,0,4.007754875,id_20230601194848
