Event Type,Button,X,Y,Scroll Amount,Elapsed Time,Id
Move,,945.40625,803.57421875,0,2.896267833,id_20230601194848
Move,,945.08984375,802.6328125,0,2.901847833,id_20230601194848
Move,,944.7734375,801.69140625,0,2.902019792,id_20230601194848
Move,,944.484375,801.1171875,0,2.906441167,id_20230601194848
Move,,944.1953125,800.54296875,0,2.914337625,id_20230601194848
Move,,943.90625,799.96875,0,2.925284417,id_20230601194848
Move,,943.6171875,799.39453125,0,2.93032975,id_20230601194848
Move,,943.04296875,798.8203125,0,2.942665,id_20230601194848
Move,,942.78125,798.55859375,0,2.946451083,id_20230601194848
Move,,942.51953125,798.55859375,0,2.954607917,id_20230601194848
Move,,942.2578125,798.296875,0,2.971276417,id_20230601194848
Move,,941.69140625,798.296875,0,2.971564375,id_20230601194848
Move,,941.4296875,798.296875,0,2.9799951670000002,id_20230601194848
Move,,941.18359375,798.05078125,0,2.995054792,id_20230601194848
Move,,940.921875,798.05078125,0,3.003429625,id_20230601194848
Move,,940.421875,797.55078125,0,3.027288208,id_20230601194848
Move,,940.1328125,796.9765625,0,3.0354095,id_20230601194848
Move,,939.50390625,796.03515625,0,3.043344292,id_20230601194848
Move,,938.875,795.09375,0,3.053801625,id_20230601194848
Move,,937.68359375,792.7109375,0,3.059713417,id_20230601194848
Move,,937.0546875,791.76953125,0,3.069332792,id_20230601194848
Move,,936.3125,789.921875,0,3.075534958,id_20230601194848
Move,,935.203125,788.07421875,0,3.083403458,id_20230601194848
Move,,934.51953125,786.7109375,0,3.09238725,id_20230601194848
Move,,933.8359375,785.34375,0,3.100140833,id_20230601194848
Move,,933.20703125,784.40234375,0,3.108479875,id_20230601194848
Move,,932.890625,783.4609375,0,3.11597,id_20230601194848
Move,,932.6015625,782.88671875,0,3.124769542,id_20230601194848
Move,,932.3125,782.3125,0,3.143770458,id_20230601194848
Move,,932.3125,782.05078125,0,3.14410175,id_20230601194848
Move,,932.05078125,781.7890625,0,3.150182708,id_20230601194848
Move,,932.05078125,781.54296875,0,3.1640665,id_20230601194848
Move,,932.05078125,781.296875,0,3.180471417,id_20230601194848
Move,,932.05078125,781.03515625,0,3.191667667,id_20230601194848
Move,,932.05078125,780.7734375,0,3.196448708,id_20230601194848
Move,,932.62109375,780.19921875,0,3.208109875,id_20230601194848
Move,,933.984375,779.85546875,0,3.212854542,id_20230601194848
Move,,934.921875,779.2265625,0,3.239073208,id_20230601194848
Move,,935.859375,778.91015625,0,3.239800042,id_20230601194848
Move,,936.796875,778.59375,0,3.240192042,id_20230601194848
Move,,937.734375,778.59375,0,3.244991333,id_20230601194848
Move,,938.671875,778.59375,0,3.252827917,id_20230601194848
Move,,939.2421875,778.59375,0,3.26120125,id_20230601194848
Move,,939.8125,778.59375,0,3.268953833,id_20230601194848
Move,,940.06640625,778.59375,0,3.27778025,id_20230601194848
Move,,940.32421875,778.59375,0,3.285179833,id_20230601194848
Move,,940.58203125,778.59375,0,3.293206083,id_20230601194848
Move,,940.58203125,778.828125,0,3.350255417,id_20230601194848
Move,,940.58203125,779.0859375,0,3.358231542,id_20230601194848
Move,,940.58203125,779.65625,0,3.366257125,id_20230601194848
Move,,940.58203125,780.2265625,0,3.3755835,id_20230601194848
Move,,940.3203125,780.484375,0,3.382100417,id_20230601194848
Move,,940.03125,781.0546875,0,3.391661583,id_20230601194848
Move,,939.76953125,781.3125,0,3.398174292,id_20230601194848
Move,,939.48046875,781.8828125,0,3.408289833,id_20230601194848
Move,,939.21875,782.140625,0,3.419179917,id_20230601194848
Move,,938.95703125,782.3984375,0,3.425551167,id_20230601194848
Move,,938.6953125,782.65625,0,3.4312650000000002,id_20230601194848
Move,,938.43359375,782.9140625,0,3.440296208,id_20230601194848
Move,,938.171875,782.9140625,0,3.446595333,id_20230601194848
Move,,937.92578125,782.9140625,0,3.46373325,id_20230601194848
Move,,937.6875,782.9140625,0,3.50145175,id_20230601194848
Move,,937.44921875,782.9140625,0,3.527355667,id_20230601194848
Move,,937.2109375,782.9140625,0,3.567956292,id_20230601194848
Move,,936.96484375,782.9140625,0,3.58438625,id_20230601194848
Move,,936.96484375,782.33984375,0,3.592469667,id_20230601194848
Move,,936.96484375,781.765625,0,3.600135833,id_20230601194848
Move,,936.96484375,781.50390625,0,3.608348,id_20230601194848
Move,,936.96484375,780.9296875,0,3.616770625,id_20230601194848
Move,,936.96484375,780.66796875,0,3.624973167,id_20230601194848
Move,,936.96484375,780.40625,0,3.632509958,id_20230601194848
Move,,936.96484375,780.14453125,0,3.641659458,id_20230601194848
