Event Type,Button,X,Y,Scroll Amount,Elapsed Time
KeyRelease,'s',,,0,1.8783970830000003
KeyPress,'i',,,0,2.002341958
KeyRelease,'i',,,0,2.07049175
KeyPress,'n',,,0,2.189398708
KeyRelease,'n',,,0,2.241228875
KeyPress,'e',,,0,2.302284208
KeyRelease,'e',,,0,2.3904162920000003
KeyPress,Key.space,,,0,2.854398292
KeyRelease,Key.space,,,0,2.901884833
KeyPress,'d',,,0,3.0132417080000002
KeyRelease,'d',,,0,3.090344375
KeyPress,'h',,,0,3.15016175
KeyRelease,'h',,,0,3.202175542
KeyPress,'i',,,0,3.349257958
KeyRelease,'i',,,0,3.396945917
KeyPress,'e',,,0,3.475445875
KeyRelease,'e',,,0,3.535731292
KeyPress,'b',,,0,3.5727034580000003
KeyRelease,'b',,,0,3.621155875
Move,,921.80078125,644.69921875,0,5.1687195
Move,,921.80078125,643.7578125,0,5.1754053749999995
Move,,921.80078125,641.91015625,0,5.183090583
Move,,921.4296875,640.0625,0,5.191239375
Move,,921.4296875,638.21484375,0,5.198383292
Move,,921.4296875,635.83203125,0,5.206381583
Move,,921.4296875,633.44921875,0,5.214675125
Move,,921.4296875,631.06640625,0,5.222256042
Move,,921.05859375,629.21875,0,5.23086975
Move,,921.05859375,626.8359375,0,5.238468625
Move,,921.05859375,624.453125,0,5.247609375
Move,,921.05859375,622.0703125,0,5.25397775
Move,,920.6875,620.22265625,0,5.263593792
Move,,920.6875,618.375,0,5.269685708
Move,,920.6875,616.52734375,0,5.2807506669999995
Move,,920.37109375,615.5859375,0,5.284940292
Move,,920.37109375,614.64453125,0,5.293020917
Move,,920.37109375,614.0703125,0,5.301188292
Move,,920.37109375,613.49609375,0,5.308265917
Move,,920.37109375,613.234375,0,5.316665792
Move,,920.37109375,612.29296875,0,5.3244011669999995
Move,,920.37109375,611.71875,0,5.332701208
Move,,920.37109375,610.77734375,0,5.340440417
Move,,920.37109375,609.8359375,0,5.348160125
Move,,920.37109375,608.46875,0,5.356104708
Move,,920.37109375,607.1015625,0,5.365068625
Move,,920.37109375,605.734375,0,5.3716631249999995
Scroll,,920.37109375,605.734375,0,5.715028333
Scroll,,920.37109375,605.734375,0,5.73014425
Scroll,,920.37109375,605.734375,0,5.744007625
Scroll,,920.37109375,605.734375,0,5.7648075
Scroll,,920.37109375,605.734375,0,5.781551958
Scroll,,920.37109375,605.734375,1,5.798851208
Scroll,,920.37109375,605.734375,0,5.815369958
Scroll,,920.37109375,605.734375,0,5.8329052919999995
Scroll,,920.37109375,605.734375,0,5.849439458
Scroll,,920.37109375,605.734375,0,5.865515333
Scroll,,920.37109375,605.734375,1,5.88261425
Scroll,,920.37109375,605.734375,0,5.8984922079999995
Scroll,,920.37109375,605.734375,0,5.915703
Scroll,,920.37109375,605.734375,0,5.932159042
Scroll,,920.37109375,605.734375,0,5.948682542
Scroll,,920.37109375,605.734375,0,5.9659513749999995
Scroll,,920.37109375,605.734375,0,5.981381917
Scroll,,920.37109375,605.734375,0,5.998783625
Scroll,,920.37109375,605.734375,0,6.014269125
Scroll,,920.37109375,605.734375,0,6.031128542
Scroll,,920.37109375,605.734375,0,6.311125083
KeyPress,Key.esc,,,0,8.325201416999999
d,h,i,e,b
