Event Type,Button,X,Y,Scroll Amount,Elapsed Time
Move,,937.0390625,796.63671875,0,0.38109133300000003
Move,,937.0390625,791.55078125,0,0.384149083
Move,,937.0390625,784.77734375,0,0.391796208
Move,,937.0390625,777.07421875,0,0.39925099999999997
Move,,937.0390625,768.38671875,0,0.406907458
Move,,937.68359375,758.66015625,0,0.41499120800000006
Move,,939.08984375,746.6796875,0,0.42318745799999996
Move,,940.5546875,733.48828125,0,0.43139445800000004
Move,,943.58984375,705.1328125,0,0.438775125
Move,,945.67578125,674.875,0,0.44734999999999997
Move,,947.140625,661.68359375,0,0.454315333
Move,,948.43359375,651.95703125,0,0.46379470800000006
Move,,948.99609375,645.18359375,0,0.47036012499999996
Move,,950.4609375,631.9921875,0,0.48116175
Move,,951.64453125,624.2890625,0,0.48578995799999997
Move,,952.1796875,618.38671875,0,0.493484333
Move,,952.6015625,615.41015625,0,0.5018621670000001
Move,,952.96875,613.5625,0,0.5092352920000001
Move,,953.28125,612.62109375,0,0.517789958
Move,,953.56640625,612.046875,0,0.5250249170000001
Move,,953.82421875,612.046875,0,0.5330745830000001
Move,,953.82421875,612.5234375,0,0.5885033749999999
Move,,953.82421875,613.4609375,0,0.595837958
Move,,953.48046875,614.82421875,0,0.6034805000000001
Move,,953.109375,616.66796875,0,0.614635917
Move,,952.7109375,619.046875,0,0.619670167
Move,,952.33984375,620.890625,0,0.6310123750000001
Move,,951.94140625,623.26953125,0,0.6351710829999999
Move,,951.5703125,625.11328125,0,0.642910458
Move,,951.5703125,626.95703125,0,0.6511066249999999
Move,,951.2265625,628.3203125,0,0.658984
Move,,951.2265625,629.2578125,0,0.66668525
Move,,950.9375,629.828125,0,0.6747465420000001
Move,,950.9375,630.765625,0,0.6823070419999999
Move,,950.36328125,631.3359375,0,0.690470833
Move,,949.734375,632.2734375,0,0.6983619999999999
Move,,949.16015625,632.84375,0,0.7061280000000001
Move,,948.1328125,633.8671875,0,0.7149167919999999
Move,,946.65234375,635.34375,0,0.7216417079999999
Move,,944.6640625,636.9296875,0,0.730347208
Move,,943.72265625,637.5546875,0,0.7373232080000001
Move,,941.734375,639.140625,0,0.7480298749999998
Move,,939.3515625,640.328125,0,0.7530240419999998
Move,,937.50390625,641.06640625,0,0.7635494169999999
Move,,935.65625,641.8046875,0,0.7692320419999998
Move,,934.2890625,642.484375,0,0.7806689999999998
Move,,932.44140625,642.8515625,0,0.784664875
Move,,931.5,643.1640625,0,0.7926561669999999
Move,,930.1328125,643.50390625,0,0.800831083
Move,,928.765625,643.84375,0,0.808247417
Move,,927.3984375,644.18359375,0,0.8165300419999999
Move,,926.03125,644.86328125,0,0.8238889999999999
Move,,923.6484375,645.2578125,0,0.8321538749999999
Move,,921.80078125,645.625,0,0.839810792
KeyPress,'y',,,0,1.2926059580000002
KeyPress,'a',,,0,1.366517708
KeyRelease,'y',,,0,1.413770125
KeyRelease,'a',,,0,1.49102375
KeyPress,'s',,,0,1.61893325
KeyRelease,'s',,,0,1.695543125
KeyPress,'s',,,0,1.786362917
