Event Type,Button,X,Y,Scroll Amount,Elapsed Time,Id
Move,,1767,93,0,-0.28989170000000003,id_20230601194848
Move,,1746,111,0,-0.2840288,id_20230601194848
Move,,1714,134,0,-0.2769093,id_20230601194848
Move,,1688,160,0,-0.26968680000000006,id_20230601194848
Move,,1657,196,0,-0.26244760000000006,id_20230601194848
Move,,1629,220,0,-0.25504370000000004,id_20230601194848
Move,,1603,244,0,-0.24810060000000006,id_20230601194848
Move,,1579,272,0,-0.24046940000000006,id_20230601194848
Move,,1554,304,0,-0.23349350000000002,id_20230601194848
Move,,1540,319,0,-0.22580720000000004,id_20230601194848
Move,,1524,333,0,-0.21949130000000006,id_20230601194848
Move,,1513,348,0,-0.21215540000000005,id_20230601194848
Move,,1501,362,0,-0.20514530000000003,id_20230601194848
Move,,1493,372,0,-0.19809700000000002,id_20230601194848
Move,,1485,381,0,-0.1905215,id_20230601194848
Move,,1481,387,0,-0.18369860000000005,id_20230601194848
Move,,1477,390,0,-0.17580280000000004,id_20230601194848
Move,,1476,391,0,-0.16913910000000004,id_20230601194848
Move,,1476,392,0,-0.16157010000000005,id_20230601194848
Move,,1465,400,0,0.06671309999999997,id_20230601194848
Move,,1441,417,0,0.073766,id_20230601194848
Move,,1425,431,0,0.08178619999999992,id_20230601194848
Move,,1411,443,0,0.08751509999999996,id_20230601194848
Move,,1400,451,0,0.09500209999999998,id_20230601194848
Move,,1381,463,0,0.10198019999999997,id_20230601194848
Move,,1378,465,0,0.11008620000000002,id_20230601194848
Move,,1365,475,0,0.1164155,id_20230601194848
Move,,1361,480,0,0.12375019999999992,id_20230601194848
Move,,1353,489,0,0.13079379999999996,id_20230601194848
Move,,1347,497,0,0.1383468,id_20230601194848
Move,,1340,503,0,0.14542349999999993,id_20230601194848
Move,,1334,510,0,0.15206959999999992,id_20230601194848
Move,,1331,513,0,0.16020849999999998,id_20230601194848
Move,,1324,518,0,0.16644530000000002,id_20230601194848
Move,,1321,521,0,0.1735394,id_20230601194848
Move,,1318,523,0,0.18129079999999997,id_20230601194848
Move,,1316,525,0,0.18817439999999996,id_20230601194848
Move,,1313,528,0,0.19538089999999997,id_20230601194848
Move,,1313,528,0,0.20225749999999998,id_20230601194848
Move,,1312,528,0,0.21000779999999997,id_20230601194848
Move,,1311,528,0,0.21657249999999995,id_20230601194848
Move,,1309,535,0,0.46672140000000006,id_20230601194848
Move,,1305,546,0,0.473858,id_20230601194848
Move,,1298,560,0,0.4807773000000001,id_20230601194848
Move,,1293,574,0,0.4878874999999999,id_20230601194848
Move,,1287,591,0,0.4952769,id_20230601194848
Move,,1282,600,0,0.5025643999999999,id_20230601194848
Move,,1278,610,0,0.5095801999999999,id_20230601194848
Move,,1276,613,0,0.5172800999999999,id_20230601194848
Move,,1270,623,0,0.5238234,id_20230601194848
Move,,1266,630,0,0.5309864999999999,id_20230601194848
Move,,1264,640,0,0.5393897,id_20230601194848
Move,,1260,648,0,0.5450232,id_20230601194848
Move,,1258,655,0,0.5526965999999999,id_20230601194848
Move,,1257,659,0,0.5594590999999999,id_20230601194848
Move,,1256,662,0,0.5674083,id_20230601194848
Move,,1255,664,0,0.5738647,id_20230601194848
Move,,1254,665,0,0.5806330000000001,id_20230601194848
Move,,1252,673,0,0.5889691,id_20230601194848
Move,,1250,676,0,0.5948558,id_20230601194848
Move,,1250,677,0,0.6021922000000001,id_20230601194848
Move,,1243,683,0,0.8164520999999999,id_20230601194848
Move,,1229,694,0,0.8236441,id_20230601194848
Move,,1213,708,0,0.8312578,id_20230601194848
Move,,1198,722,0,0.8383927999999999,id_20230601194848
Move,,1187,730,0,0.8455088000000001,id_20230601194848
Move,,1173,740,0,0.8536175,id_20230601194848
Move,,1162,749,0,0.8595445,id_20230601194848
Move,,1153,756,0,0.8666828999999999,id_20230601194848
Move,,1144,765,0,0.8735725,id_20230601194848
Move,,1130,780,0,0.8808596000000001,id_20230601194848
Move,,1123,788,0,0.8886478999999999,id_20230601194848
Move,,1116,796,0,0.8955190999999999,id_20230601194848
Move,,1112,799,0,0.9033502999999999,id_20230601194848
Move,,1106,805,0,0.9099839,id_20230601194848
Move,,1098,809,0,0.9171619999999999,id_20230601194848
Move,,1096,811,0,0.9240559999999999,id_20230601194848
Move,,1093,813,0,0.9314132999999999,id_20230601194848
Move,,1091,814,0,0.9388205,id_20230601194848
Move,,1090,814,0,0.9454383000000001,id_20230601194848
Move,,1090,814,0,0.9532044999999999,id_20230601194848
Move,,1072,830,0,1.1666347,id_20230601194848
Move,,1061,839,0,1.1736757999999998,id_20230601194848
Move,,1037,858,0,1.1814000999999998,id_20230601194848
Move,,1016,871,0,1.1885550999999999,id_20230601194848
Move,,994,884,0,1.1956213999999998,id_20230601194848
Move,,973,897,0,1.2033336000000001,id_20230601194848
Move,,950,910,0,1.2095325,id_20230601194848
Move,,926,929,0,1.2170022999999999,id_20230601194848
Move,,901,945,0,1.2240037999999998,id_20230601194848
Move,,882,957,0,1.2316088,id_20230601194848
Move,,864,963,0,1.238667,id_20230601194848
Move,,845,972,0,1.2454888999999998,id_20230601194848
Move,,834,976,0,1.2540896999999998,id_20230601194848
Move,,816,984,0,1.260024,id_20230601194848
Move,,808,987,0,1.2668418,id_20230601194848
Move,,797,991,0,1.2737941999999998,id_20230601194848
Move,,790,994,0,1.2811344999999998,id_20230601194848
Move,,781,998,0,1.2886254999999998,id_20230601194848
Move,,772,1000,0,1.2951766,id_20230601194848
Move,,766,1002,0,1.3036618,id_20230601194848
Move,,759,1004,0,1.3099990999999997,id_20230601194848
Move,,757,1004,0,1.3172509,id_20230601194848
Move,,750,1008,0,1.3239579,id_20230601194848
Move,,747,1009,0,1.3313541,id_20230601194848
Move,,742,1011,0,1.3385599,id_20230601194848
Move,,738,1013,0,1.3454885,id_20230601194848
Move,,731,1015,0,1.3538313,id_20230601194848
Move,,727,1016,0,1.359867,id_20230601194848
Move,,724,1017,0,1.3674998999999999,id_20230601194848
Move,,721,1019,0,1.3742617999999998,id_20230601194848
Move,,720,1019,0,1.3815037000000001,id_20230601194848
Move,,719,1019,0,1.3888751,id_20230601194848
Move,,718,1019,0,1.3956700999999998,id_20230601194848
Move,,718,1020,0,1.4038729,id_20230601194848
Move,,717,1020,0,1.4244993,id_20230601194848
Move,,715,1021,0,1.4318757,id_20230601194848
Move,,711,1023,0,1.4389835999999998,id_20230601194848
Move,,709,1023,0,1.4459167000000002,id_20230601194848
Move,,706,1024,0,1.4540353000000001,id_20230601194848
Move,,702,1025,0,1.4601969000000001,id_20230601194848
Move,,699,1026,0,1.4670068,id_20230601194848
Move,,698,1028,0,1.4739658000000002,id_20230601194848
Move,,698,1028,0,1.4814305,id_20230601194848
Move,,698,1029,0,1.48876,id_20230601194848
Move,,698,1029,0,1.5038955999999999,id_20230601194848
Move,,698,1030,0,1.5242586,id_20230601194848
Move,,698,1031,0,1.5315349999999999,id_20230601194848
Move,,698,1032,0,1.5390031,id_20230601194848
Move,,698,1032,0,1.5456346,id_20230601194848
Move,,698,1033,0,1.5538827,id_20230601194848
Move,,698,1034,0,1.5603481000000001,id_20230601194848
Move,,698,1035,0,1.5678167000000003,id_20230601194848
Move,,698,1036,0,1.5744378,id_20230601194848
Move,,698,1037,0,1.5815964,id_20230601194848
Move,,698,1037,0,1.5887038000000002,id_20230601194848
Move,,697,1038,0,1.6312269000000001,id_20230601194848
Move,,696,1038,0,1.695564,id_20230601194848
Move,,696,1039,0,1.7532979000000002,id_20230601194848
Move,,694,1039,0,1.7742806,id_20230601194848
Move,,694,1039,0,1.7886472000000002,id_20230601194848
Move,,694,1040,0,1.811848,id_20230601194848
Move,,694,1041,0,1.8454926999999999,id_20230601194848
Move,,694,1042,0,1.8533092,id_20230601194848
Move,,694,1043,0,1.8672183000000002,id_20230601194848
Move,,694,1044,0,1.8742893,id_20230601194848
Move,,694,1044,0,1.8816321999999999,id_20230601194848
Move,,694,1045,0,1.9102674,id_20230601194848
Move,,694,1045,0,2.0103573,id_20230601194848
Move,,694,1045,0,2.0242716,id_20230601194848
Move,,694,1044,0,2.0315321,id_20230601194848
Move,,694,1043,0,2.0385462,id_20230601194848
Move,,698,1032,0,2.60357,id_20230601194848
Move,,707,1016,0,2.6112071,id_20230601194848
Move,,712,1010,0,2.6174125,id_20230601194848
Move,,726,993,0,2.6244991,id_20230601194848
Move,,741,966,0,2.6317203,id_20230601194848
